id,price_doc
30474,5292709.42614967
30475,10502458.752276478
30476,5423341.61267261
30477,7705464.020272267
30478,5379617.233546693
30479,6146842.731241981
30480,5275396.60069566
30481,5654159.242516888
30482,5863155.319558607
30483,5672157.746682601
30484,5142484.107487288
30485,5310042.130345725
30486,5123505.815959607
30487,5362182.285763096
30488,8649583.565942978
30489,8649583.565942978
30490,18589206.27105732
30491,13749579.41144294
30492,7667354.398499587
30493,10195998.254734369
30494,7862310.863767057
30495,8318606.694736548
30496,14887455.583218843
30497,10502458.752276478
30498,4726694.136842856
30499,8012667.874678725
30500,9474175.026137069
30501,5899984.213394748
30502,4682258.4715634175
30503,5189047.099076631
30504,5310042.130345725
30505,11067106.982895298
30506,6687032.800994614
30507,5310042.130345725
30508,6468545.120449979
30509,6674471.243342727
30510,7056788.716118246
30511,5817334.89662719
30512,5511408.824394308
30513,5310042.130345725
30514,8669227.139270501
30515,6825522.610911358
30516,7371477.1329329545
30517,7313528.75293079
30518,5017948.157478863
30519,4610810.738012884
30520,5397957.235772381
30521,5197671.039618298
30522,8730279.955520656
30523,5258101.285079335
30524,6758622.8557567205
30525,5120054.058926825
30526,5249459.446653069
30527,6961976.9640239375
30528,5318716.652461071
30529,5310042.130345725
30530,5111422.739282511
30531,9995372.364738429
30532,6279401.444106866
30533,7027240.470926563
30534,7782984.251342005
30535,6910143.656738897
30536,7482704.9190591825
30537,9721091.792420449
30538,4484837.684906541
30539,15817090.384068687
30540,7013054.231586537
30541,5735410.471439288
30542,4929104.169421417
30543,4929104.169421417
30544,7848961.324201099
30545,5946256.090142485
30546,5546880.126181896
30547,7567705.073166255
30548,6211287.302445861
30549,5672157.746682601
30550,9721091.792420449
30551,5672157.746682601
30552,4860801.53566591
30553,5520263.079466706
30554,10035210.255420905
30555,7555441.046116252
30556,6027460.851970423
30557,7692713.916577144
30558,6705916.386204027
30559,5223553.624227126
30560,4735561.240737597
30561,6002159.68633757
30562,7654743.786831106
30563,5379617.233546693
30564,5936979.7381606335
30565,11678539.89032787
30566,11529716.517989485
30567,4920365.32149662
30568,6790415.076130017
30569,7835663.591473837
30570,5266746.903519234
30571,5941616.50474435
30572,5275396.60069566
30573,5111422.739282511
30574,6191975.070183141
30575,5163179.708928507
30576,5362182.285763096
30577,5327396.998673033
30578,6810611.57681443
30579,6086871.646665547
30580,5085509.478870898
30581,4708940.097791764
30582,7238193.437504009
30583,7782984.251342005
30584,4376151.629076617
30585,4326224.521498325
30586,7747880.911563561
30587,8333808.077372395
30588,5223553.624227126
30589,7005426.11188114
30590,11023001.53575567
30591,4981431.428220038
30592,6172727.370158223
30593,14921253.286548357
30594,12983521.320562983
30595,4664436.43485017
30596,22476929.771102354
30597,5111422.739282511
30598,7083156.602887767
30599,11635977.078510605
30600,7137325.017717963
30601,5258101.285079335
30602,4929104.169421417
30603,10805341.19218858
30604,4700053.030702388
30605,5279723.072160978
30606,17870822.580831606
30607,5909216.994700687
30608,11635977.078510605
30609,8649583.565942978
30610,4475799.335771535
30611,6468545.120449979
30612,6539849.505587094
30613,6489844.170603206
30614,16309394.501193952
30615,6458430.605790563
30616,6529609.880196163
30617,6737496.922466243
30618,4708940.097791764
30619,5180424.209388639
30620,6468545.120449979
30621,6398119.446196458
30622,5762642.241419486
30623,5881549.702787851
30624,9399778.51041898
30625,8515852.220270956
30626,5484899.100847594
30627,7341245.433270506
30628,5139896.691281973
30629,4920365.32149662
30630,5546880.126181896
30631,6468545.120449979
30632,5414580.73517353
30633,5458467.083975533
30634,9644294.861236814
30635,7073256.776459053
30636,5275396.60069566
30637,7079855.042701632
30638,5042237.63610474
30639,5881549.702787851
30640,6240378.907533778
30641,11635977.078510605
30642,5180424.209388639
30643,7705464.020272267
30644,7148439.507503262
30645,7115158.417925314
30646,5405827.923609304
30647,6087819.075361042
30648,19223074.233021185
30649,6418151.763540097
30650,4744421.822167148
30651,6775563.6163425855
30652,6191975.070183141
30653,6284298.284369621
30654,6398119.446196458
30655,6544975.811984881
30656,5180424.209388639
30657,5872347.590898198
30658,7984841.578766613
30659,5570015.37223667
30660,6758622.8557567205
30661,5013606.036598417
30662,7005426.11188114
30663,19962586.85531236
30664,6951151.291650948
30665,8649583.565942978
30666,6408126.704913307
30667,5644273.994503486
30668,7567705.073166255
30669,6468545.120449979
30670,4920365.32149662
30671,7060079.234198125
30672,6762854.759822127
30673,9217101.081480647
30674,7943514.214937286
30675,4929104.169421417
30676,7295148.818428439
30677,4637652.90409563
30678,16476313.064511105
30679,5936979.7381606335
30680,7387847.082119599
30681,4302605.259746626
30682,6550106.414593189
30683,7493524.7375503
30684,4628711.922910438
30685,6748052.832974445
30686,6790415.076130017
30687,5292709.42614967
30688,5170077.469366799
30689,6907990.96745778
30690,20152747.243901514
30691,4646587.370244355
